time,error,ip,referrer
2022-11-14 19:00:31.698741, core:crit, (13)Permission denied," AH00529: /people/home/akaleci/public_html/ssl/.htaccess pcfg_openfile: unable to check htaccess file, ensure it is readable and that '/people/home/akaleci/public_html/ssl/' is executable"
2022-11-14 19:31:44.886883, php7:notice, 10.82.202.39," PHP Notice:  Undefined index: prodImg in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 4, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php?error=none"
2022-11-14 19:31:44.886925, php7:notice, 10.82.202.39," PHP Notice:  Trying to access array offset on value of type null in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 4, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php?error=none"
2022-11-14 19:31:44.886970, php7:notice, 10.82.202.39," PHP Notice:  Undefined index: prodImg in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 9, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php?error=none"
2022-11-14 19:31:44.886994, php7:notice, 10.82.202.39," PHP Notice:  Trying to access array offset on value of type null in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 9, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php?error=none"
2022-11-14 19:31:44.887011, php7:warn, 10.82.202.39," PHP Warning:  getimagesize(): Filename cannot be empty in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 9, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php?error=none"
2022-11-14 19:31:44.887269, php7:notice, 10.82.202.39," PHP Notice:  Undefined index: prodImg in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 25, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php?error=none"
2022-11-14 19:31:44.887283, php7:notice, 10.82.202.39," PHP Notice:  Trying to access array offset on value of type null in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 25, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php?error=none"
2022-11-14 19:38:43.985923, php7:warn, 10.82.202.39," PHP Warning:  move_uploaded_file(../public/productImgnecro2.png): failed to open stream: Permission denied in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 46, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php?error=none"
2022-11-14 19:38:43.985967, php7:warn, 10.82.202.39," PHP Warning:  move_uploaded_file(): Unable to move '/tmp/phphP8sPS' to '../public/productImgnecro2.png' in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 46, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php?error=none"
2022-11-14 19:39:36.111286, php7:warn, 10.82.202.39," PHP Warning:  move_uploaded_file(public/productImgnecro2.png): failed to open stream: No such file or directory in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 46, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php?error=none"
2022-11-14 19:39:36.111331, php7:warn, 10.82.202.39," PHP Warning:  move_uploaded_file(): Unable to move '/tmp/phpI7I98P' to 'public/productImgnecro2.png' in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 46, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php?error=none"
2022-11-14 19:39:48.270421, php7:warn, 10.82.202.39," PHP Warning:  move_uploaded_file(public/productImgnecro.png): failed to open stream: No such file or directory in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 46, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php?error=none"
2022-11-14 19:39:48.270471, php7:warn, 10.82.202.39," PHP Warning:  move_uploaded_file(): Unable to move '/tmp/phpbrf57P' to 'public/productImgnecro.png' in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 46, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php?error=none"
2022-11-14 19:45:46.465551, php7:notice, 10.82.202.39," PHP Notice:  Undefined variable: txtGalleryName in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 11, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php?error=none"
2022-11-14 19:45:46.465593, php7:notice, 10.82.202.39," PHP Notice:  Undefined variable: txtGalleryName in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 12, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php?error=none"
2022-11-14 19:45:46.466545, php7:warn, 10.82.202.39," PHP Warning:  move_uploaded_file(../public/productImg/necro2.png): failed to open stream: Permission denied in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 12, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php?error=none"
2022-11-14 19:45:46.466568, php7:warn, 10.82.202.39," PHP Warning:  move_uploaded_file(): Unable to move '/tmp/phpmm6xWP' to '../public/productImg/necro2.png' in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 12, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php?error=none"
2022-11-14 19:45:46.466584, php7:notice, 10.82.202.39," PHP Notice:  Undefined variable: txtGalleryName in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 11, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php?error=none"
2022-11-14 19:45:46.466603, php7:notice, 10.82.202.39," PHP Notice:  Undefined variable: txtGalleryName in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 12, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php?error=none"
2022-11-14 19:45:46.467061, php7:warn, 10.82.202.39," PHP Warning:  move_uploaded_file(../public/productImg/necro3.png): failed to open stream: Permission denied in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 12, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php?error=none"
2022-11-14 19:45:46.467081, php7:warn, 10.82.202.39," PHP Warning:  move_uploaded_file(): Unable to move '/tmp/phpd91XOS' to '../public/productImg/necro3.png' in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 12, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php?error=none"
2022-11-14 19:46:33.007908, php7:notice, 10.82.202.39," PHP Notice:  Undefined variable: txtGalleryName in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 11, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php?error=none"
2022-11-14 19:46:33.007951, php7:notice, 10.82.202.39," PHP Notice:  Undefined variable: txtGalleryName in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 12, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php?error=none"
2022-11-14 19:46:33.008034, php7:warn, 10.82.202.39," PHP Warning:  move_uploaded_file(public/productImg/necro2.png): failed to open stream: No such file or directory in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 12, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php?error=none"
2022-11-14 19:46:33.008053, php7:warn, 10.82.202.39," PHP Warning:  move_uploaded_file(): Unable to move '/tmp/phpLyBGoS' to 'public/productImg/necro2.png' in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 12, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php?error=none"
2022-11-14 19:46:33.008067, php7:notice, 10.82.202.39," PHP Notice:  Undefined variable: txtGalleryName in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 11, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php?error=none"
2022-11-14 19:46:33.008084, php7:notice, 10.82.202.39," PHP Notice:  Undefined variable: txtGalleryName in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 12, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php?error=none"
2022-11-14 19:46:33.008161, php7:warn, 10.82.202.39," PHP Warning:  move_uploaded_file(public/productImg/necro3.png): failed to open stream: No such file or directory in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 12, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php?error=none"
2022-11-14 19:46:33.008179, php7:warn, 10.82.202.39," PHP Warning:  move_uploaded_file(): Unable to move '/tmp/php9anBHO' to 'public/productImg/necro3.png' in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 12, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php?error=none"
2022-11-14 19:47:01.249150, php7:notice, 10.82.202.39," PHP Notice:  Undefined variable: txtGalleryName in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 11, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php?error=none"
2022-11-14 19:47:01.249410, php7:notice, 10.82.202.39," PHP Notice:  Undefined variable: txtGalleryName in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 12, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php?error=none"
2022-11-14 19:47:01.249682, php7:warn, 10.82.202.39," PHP Warning:  move_uploaded_file(p../ublic/productImg/necro2.png): failed to open stream: No such file or directory in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 12, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php?error=none"
2022-11-14 19:47:01.249703, php7:warn, 10.82.202.39," PHP Warning:  move_uploaded_file(): Unable to move '/tmp/phpq0JU9G' to 'p../ublic/productImg/necro2.png' in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 12, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php?error=none"
2022-11-14 19:47:17.894747, php7:notice, 10.82.202.39," PHP Notice:  Undefined variable: txtGalleryName in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 11, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php?error=none"
2022-11-14 19:47:17.894809, php7:notice, 10.82.202.39," PHP Notice:  Undefined variable: txtGalleryName in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 12, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php?error=none"
2022-11-14 19:47:17.895135, php7:warn, 10.82.202.39," PHP Warning:  move_uploaded_file(../public/productImg/necro2.png): failed to open stream: Permission denied in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 12, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php?error=none"
2022-11-14 19:47:17.895156, php7:warn, 10.82.202.39," PHP Warning:  move_uploaded_file(): Unable to move '/tmp/php7MUaZK' to '../public/productImg/necro2.png' in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 12, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php?error=none"
2022-11-14 19:47:33.423531, php7:notice, 10.82.202.39," PHP Notice:  Undefined variable: txtGalleryName in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 11, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php?error=none"
2022-11-14 19:47:33.423787, php7:notice, 10.82.202.39," PHP Notice:  Undefined variable: txtGalleryName in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 12, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php?error=none"
2022-11-14 19:47:33.424121, php7:warn, 10.82.202.39," PHP Warning:  move_uploaded_file(../public/productImg/necro3.png): failed to open stream: Permission denied in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 12, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php?error=none"
2022-11-14 19:47:33.424148, php7:warn, 10.82.202.39," PHP Warning:  move_uploaded_file(): Unable to move '/tmp/php9GYJ4M' to '../public/productImg/necro3.png' in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 12, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php?error=none"
2022-11-14 19:50:30.089841, php7:warn, 10.82.202.39," PHP Warning:  move_uploaded_file(uploads/necro3.png): failed to open stream: No such file or directory in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 48, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php?error=none"
2022-11-14 19:50:30.089893, php7:warn, 10.82.202.39," PHP Warning:  move_uploaded_file(): Unable to move '/tmp/phpnwJYt5' to 'uploads/necro3.png' in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 48, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php?error=none"
2022-11-14 19:51:37.725756, php7:warn, 10.82.202.39," PHP Warning:  move_uploaded_file(../public/productImg/necro2.png): failed to open stream: Permission denied in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 48, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php?error=none"
2022-11-14 19:51:37.725806, php7:warn, 10.82.202.39," PHP Warning:  move_uploaded_file(): Unable to move '/tmp/php6KW19I' to '../public/productImg/necro2.png' in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 48, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php?error=none"
2022-11-14 20:03:01.028878, php7:notice, 10.82.202.39," PHP Notice:  Only variables should be passed by reference in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 8, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php?error=none"
2022-11-14 20:03:01.029994, php7:warn, 10.82.202.39," PHP Warning:  move_uploaded_file(../public/productImg/necro3.png): failed to open stream: Permission denied in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 21, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php?error=none"
2022-11-14 20:03:01.030019, php7:warn, 10.82.202.39," PHP Warning:  move_uploaded_file(): Unable to move '/tmp/php3js0bR' to '../public/productImg/necro3.png' in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 21, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php?error=none"
2022-11-14 20:05:51.993845, php7:notice, 10.82.202.39," PHP Notice:  Only variables should be passed by reference in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 8, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php?error=none"
